ReleaseID,LOC,NumParameters,NumBranches,NestingDepth,NumCodeSmells,NumLocalVariables,NumRevisions,NumAuthors,TotalStmtAdded,TotalStmtDeleted,MaxChurn,AvgChurn,HasFixHistory,IsBuggy
4,35,0,5,3,0,5,1,1,35,0,35,35,0,no
5,35,0,5,3,0,5,1,1,35,0,35,35,0,no
3,35,0,5,3,0,5,1,1,35,0,35,35,0,no
3,30,3,9,5,0,5,2,1,30,0,19,15,0,no
5,30,3,9,5,0,5,2,1,30,0,19,15,0,no
4,30,3,9,5,0,5,2,1,30,0,19,15,0,no
3,47,3,10,3,0,11,3,1,47,0,47,15.6667,0,no
4,47,3,10,3,0,11,3,1,47,0,47,15.6667,0,no
5,47,3,10,3,0,11,3,1,47,0,47,15.6667,0,no
1,28,1,8,6,0,8,2,2,28,0,28,14,0,yes
4,58,1,0,0,0,0,14,2,58,0,30,4.1429,1,no
5,58,1,0,0,0,0,14,2,58,0,30,4.1429,1,no
2,32,1,0,0,0,0,2,1,32,0,30,16,0,yes
3,58,1,0,0,0,0,14,2,58,0,30,4.1429,0,no
1,30,1,0,0,0,0,1,1,30,0,30,30,0,yes
3,1,6,0,0,0,0,1,1,1,0,1,1,0,no
4,1,6,0,0,0,0,1,1,1,0,1,1,0,no
5,1,6,0,0,0,0,1,1,1,0,1,1,0,no
5,12,0,2,1,0,3,4,1,12,3,7,3.75,1,no
4,12,0,2,1,0,3,4,1,12,3,7,3.75,1,no
3,12,0,2,1,0,3,4,1,12,3,7,3.75,0,no
2,21,0,5,4,0,8,2,2,21,0,17,10.5,0,no
5,19,0,4,4,0,7,4,2,21,2,17,5.75,0,no
3,21,0,5,4,0,8,3,2,21,0,17,7,0,no
4,21,0,5,4,0,8,3,2,21,0,17,7,0,no
3,1,6,0,0,0,0,1,1,1,0,1,1,0,no
5,1,6,0,0,0,0,1,1,1,0,1,1,0,no
4,1,6,0,0,0,0,1,1,1,0,1,1,0,no
3,42,3,10,4,0,9,4,1,42,0,34,10.5,0,no
4,42,3,10,4,0,9,4,1,42,0,34,10.5,0,no
5,42,3,10,4,0,9,4,1,42,0,34,10.5,0,no
5,11,1,3,3,0,1,2,1,11,0,9,5.5,1,no
4,11,1,3,3,0,1,2,1,11,0,9,5.5,1,no
3,11,1,3,3,0,1,2,1,11,0,9,5.5,1,no
1,22,5,2,2,0,4,1,1,22,0,22,22,0,no
5,29,2,6,4,0,8,3,3,29,0,29,9.6667,1,no
4,29,2,6,4,0,8,3,3,29,0,29,9.6667,1,no
1,29,2,6,4,0,8,1,1,29,0,29,29,0,yes
3,29,2,6,4,0,8,2,2,29,0,29,14.5,0,yes
2,29,2,6,4,0,8,1,1,29,0,29,29,0,yes
4,1,0,0,0,0,0,1,1,1,0,1,1,0,no
5,1,0,0,0,0,0,1,1,1,0,1,1,0,no
1,1,0,0,0,0,0,1,1,1,0,1,1,0,no
2,1,0,0,0,0,0,1,1,1,0,1,1,0,no
3,1,0,0,0,0,0,1,1,1,0,1,1,0,no
2,15,7,2,1,0,0,1,1,15,0,15,15,0,no
3,15,7,2,1,0,0,1,1,15,0,15,15,0,no
1,15,7,2,1,0,0,1,1,15,0,15,15,0,no
2,50,2,9,3,0,4,4,4,50,0,28,12.5,0,yes
4,15,7,2,1,0,0,1,1,15,0,15,15,0,no
5,15,7,2,1,0,0,1,1,15,0,15,15,0,no
3,21,1,8,6,0,5,4,3,21,0,17,5.25,1,no
2,21,1,8,6,0,5,3,3,21,0,17,7,0,no
5,21,1,8,6,0,5,4,3,21,0,17,5.25,1,no
4,21,1,8,6,0,5,4,3,21,0,17,5.25,1,no
3,24,5,7,3,0,3,7,3,26,2,18,4,1,no
2,25,5,8,3,0,3,6,2,26,1,18,4.5,0,no
5,24,5,7,3,0,3,7,3,26,2,18,4,1,yes
4,24,5,7,3,0,3,7,3,26,2,18,4,1,yes
2,34,3,12,3,0,5,2,2,34,0,34,17,0,yes
1,34,3,12,3,0,5,2,2,34,0,34,17,0,yes
4,15,1,7,1,0,0,1,1,15,0,15,15,0,no
5,15,1,7,1,0,0,1,1,15,0,15,15,0,no
3,31,2,9,3,0,12,4,1,32,1,32,8.25,0,no
5,31,2,9,3,0,12,5,2,32,1,32,6.6,0,no
4,31,2,9,3,0,12,4,1,32,1,32,8.25,0,yes
4,32,7,5,2,0,5,3,2,32,0,31,10.6667,1,no
3,32,7,5,2,0,5,3,2,32,0,31,10.6667,0,no
5,32,7,5,2,0,5,3,2,32,0,31,10.6667,1,no
4,33,0,3,2,0,4,6,2,33,0,30,5.5,0,no
3,33,0,3,2,0,4,5,2,33,0,30,6.6,0,no
5,34,0,3,2,0,5,7,2,34,0,30,4.8571,0,no
5,80,3,31,5,0,10,1,1,80,0,80,80,0,no
4,80,3,31,5,0,10,1,1,80,0,80,80,0,no
3,10,1,2,2,0,0,1,1,10,0,10,10,0,no
4,10,1,2,2,0,0,1,1,10,0,10,10,0,no
5,10,1,2,2,0,0,1,1,10,0,10,10,0,no
3,33,6,6,3,0,6,1,1,33,0,33,33,0,no
4,33,6,6,3,0,6,1,1,33,0,33,33,0,no
5,33,6,6,3,0,6,1,1,33,0,33,33,0,no
5,13,3,3,3,0,3,1,1,13,0,13,13,0,no
5,13,3,3,2,0,3,2,2,13,0,13,6.5,1,no
4,13,3,3,2,0,3,2,2,13,0,13,6.5,0,no
3,13,3,3,2,0,3,1,1,13,0,13,13,0,yes
2,13,3,3,2,0,3,1,1,13,0,13,13,0,no
5,10,1,2,2,0,0,1,1,10,0,10,10,0,no
4,10,1,2,2,0,0,1,1,10,0,10,10,0,no
3,10,1,2,2,0,0,1,1,10,0,10,10,0,no
2,43,1,8,4,0,10,3,3,43,0,40,14.3333,0,yes
3,46,1,9,4,0,10,5,3,46,0,40,9.2,1,no
4,46,1,9,4,0,10,5,3,46,0,40,9.2,1,no
5,46,1,9,4,0,10,5,3,46,0,40,9.2,1,no
4,26,0,7,4,0,0,3,2,26,0,26,8.6667,0,no
5,28,0,8,4,0,0,4,2,28,0,26,7,0,no
3,26,0,7,4,0,0,3,2,26,0,26,8.6667,0,no
4,34,1,8,2,0,8,2,2,34,0,34,17,0,no
3,34,1,8,2,0,8,1,1,34,0,34,34,0,yes
2,34,1,8,2,0,8,1,1,34,0,34,34,0,no
5,34,1,8,2,0,8,2,2,34,0,34,17,1,no
5,10,1,2,2,0,0,1,1,10,0,10,10,0,no
4,10,1,2,2,0,0,1,1,10,0,10,10,0,no
3,10,1,2,2,0,0,1,1,10,0,10,10,0,no
3,23,1,7,4,0,0,1,1,23,0,23,23,0,no
4,23,1,7,4,0,0,1,1,23,0,23,23,0,no
5,23,1,7,4,0,0,1,1,23,0,23,23,0,no
5,66,0,15,3,0,9,1,1,66,0,66,66,0,no
5,24,1,8,5,0,6,2,1,24,0,15,12,0,no
4,24,1,8,5,0,6,2,1,24,0,15,12,0,no
3,24,1,8,5,0,6,2,1,24,0,15,12,0,no
4,18,1,7,2,0,3,1,1,18,0,18,18,0,no
5,18,1,7,2,0,3,1,1,18,0,18,18,0,no
4,62,3,17,5,0,16,4,3,50,45,50,23.75,0,no
5,62,3,17,5,0,16,4,3,50,45,50,23.75,0,no
2,54,3,14,4,0,12,4,3,50,45,50,23.75,0,no
3,62,3,17,5,0,16,4,3,50,45,50,23.75,0,no
4,42,4,10,3,0,10,3,1,42,0,42,14,0,no
1,33,3,9,3,0,9,3,2,50,17,50,22.3333,0,no
3,42,4,10,3,0,10,3,1,42,0,42,14,0,no
5,42,4,10,3,0,10,3,1,42,0,42,14,0,no
5,12,1,4,2,0,1,2,1,12,0,12,6,0,no
4,12,1,4,2,0,1,2,1,12,0,12,6,0,no
3,12,1,4,2,0,1,2,1,12,0,12,6,0,no
4,12,0,2,1,0,2,2,1,12,0,9,6,1,no
5,12,0,2,1,0,2,2,1,12,0,9,6,1,no
2,3,0,0,0,0,1,1,1,3,0,3,3,0,no
3,12,0,2,1,0,2,2,1,12,0,9,6,1,no
4,35,2,8,4,0,1,2,2,35,0,31,17.5,0,no
5,35,2,8,4,0,1,2,2,35,0,31,17.5,0,no
3,31,2,7,4,0,1,1,1,31,0,31,31,0,no
3,1,0,0,0,0,0,1,1,1,0,1,1,0,no
5,1,0,0,0,0,0,1,1,1,0,1,1,0,no
4,1,0,0,0,0,0,1,1,1,0,1,1,0,no
5,8,2,3,2,0,0,1,1,8,0,8,8,0,no
4,4,0,1,2,0,0,1,1,4,0,4,4,0,no
4,8,2,3,2,0,0,1,1,8,0,8,8,0,no
3,8,2,3,2,0,0,1,1,8,0,8,8,0,no
5,5,0,1,2,0,0,2,2,5,0,4,2.5,0,no
3,4,0,1,2,0,0,1,1,4,0,4,4,0,no
1,11,1,2,1,0,3,1,1,11,0,11,11,0,no
1,47,3,10,3,0,11,1,1,47,0,47,47,0,no
2,47,3,10,3,0,11,1,1,47,0,47,47,0,no
5,16,1,0,0,0,0,7,2,16,0,6,2.2857,1,no
4,16,1,0,0,0,0,7,2,16,0,6,2.2857,1,no
3,16,1,0,0,0,0,7,2,16,0,6,2.2857,0,no
4,50,3,11,5,0,14,1,1,50,0,50,50,0,no
5,50,3,11,5,0,14,1,1,50,0,50,50,0,no
2,50,3,11,5,0,14,1,1,50,0,50,50,0,no
3,50,3,11,5,0,14,1,1,50,0,50,50,0,no
5,23,1,9,4,0,4,1,1,23,0,23,23,0,no
4,23,1,9,4,0,4,1,1,23,0,23,23,0,no
2,9,2,1,1,0,2,4,2,10,1,10,2.75,0,no
1,10,2,1,1,0,2,2,2,10,0,10,5,0,yes
4,12,2,2,2,0,3,5,2,13,1,10,2.8,1,no
3,12,2,2,2,0,3,5,2,13,1,10,2.8,1,no
5,21,2,10,5,0,3,1,1,21,0,21,21,0,no
3,21,4,7,4,0,2,5,4,21,0,17,4.2,1,no
2,21,4,7,4,0,2,4,3,21,0,17,5.25,0,no
3,10,1,2,2,0,0,2,1,10,0,6,5,0,no
4,10,1,2,2,0,0,2,1,10,0,6,5,1,no
5,10,1,2,2,0,0,2,1,10,0,6,5,1,no
1,17,5,7,2,0,4,2,2,17,0,17,8.5,0,no
1,38,0,9,4,0,10,2,2,38,0,35,19,0,no
2,39,1,19,1,0,0,4,2,39,0,33,9.75,0,no
1,37,1,18,1,0,0,3,2,37,0,33,12.3333,0,no
4,47,1,23,1,0,0,8,2,47,0,33,5.875,0,yes
3,47,1,23,1,0,0,8,2,47,0,33,5.875,0,no
2,19,0,5,3,0,5,1,1,19,0,19,19,0,no
3,18,0,4,3,0,4,3,2,19,1,19,6.6667,1,no
4,18,0,4,3,0,4,3,2,19,1,19,6.6667,1,yes
5,23,0,6,3,0,4,4,2,24,1,19,6.25,1,yes
5,51,1,25,1,0,0,9,2,51,0,33,5.6667,0,yes
5,24,1,11,1,0,0,1,1,24,0,24,24,0,no
4,24,1,11,1,0,0,1,1,24,0,24,24,0,no
3,22,1,7,4,0,1,4,1,22,0,19,5.5,1,no
2,22,1,7,4,0,1,4,1,22,0,19,5.5,0,no
5,22,1,7,4,0,1,4,1,22,0,19,5.5,1,no
4,22,1,7,4,0,1,4,1,22,0,19,5.5,1,no
2,27,2,10,1,0,2,2,2,27,0,27,13.5,0,yes
1,27,2,10,1,0,2,2,2,27,0,27,13.5,0,yes
3,26,0,10,6,0,5,1,1,26,0,26,26,0,no
4,26,0,10,6,0,5,1,1,26,0,26,26,0,yes
5,28,0,10,6,0,5,3,3,28,0,26,9.3333,0,no
2,36,1,11,5,0,10,1,1,36,0,36,36,0,no
3,36,1,11,5,0,10,1,1,36,0,36,36,0,no
4,36,1,11,5,0,10,1,1,36,0,36,36,0,no
5,36,1,11,5,0,10,1,1,36,0,36,36,0,no
3,16,1,8,4,0,0,1,1,16,0,16,16,0,no
4,16,1,8,4,0,0,1,1,16,0,16,16,0,no
5,16,1,8,4,0,0,1,1,16,0,16,16,0,no
1,30,0,13,2,0,4,1,1,30,0,30,30,0,no
3,30,0,13,2,0,4,2,2,30,0,30,15,0,no
2,30,0,13,2,0,4,2,2,30,0,30,15,0,no
4,27,3,4,2,0,7,2,2,27,6,27,16.5,0,no
5,57,3,7,3,0,3,8,3,58,1,26,7.375,1,yes
4,52,3,6,3,0,3,6,3,53,1,26,9,1,yes
5,27,3,4,2,0,7,2,2,27,6,27,16.5,0,no
3,52,3,6,3,0,3,6,3,53,1,26,9,0,no
2,47,3,5,3,0,2,3,3,47,0,26,15.6667,0,yes
5,30,0,13,2,0,4,2,2,30,0,30,15,0,no
4,30,0,13,2,0,4,2,2,30,0,30,15,0,no
5,28,1,11,3,0,3,1,1,28,0,28,28,0,no
4,28,1,11,3,0,3,1,1,28,0,28,28,0,no
1,4,1,0,0,0,2,1,1,4,0,4,4,0,no
2,4,1,0,0,0,2,1,1,4,0,4,4,0,no
3,15,7,2,1,0,0,1,1,15,0,15,15,0,no
2,15,7,2,1,0,0,1,1,15,0,15,15,0,no
4,15,7,2,1,0,0,1,1,15,0,15,15,0,no
1,15,7,2,1,0,0,1,1,15,0,15,15,0,no
4,88,1,16,7,0,20,3,2,88,0,84,29.3333,0,no
5,88,1,16,7,0,20,3,2,88,0,84,29.3333,1,no
2,88,1,16,7,0,20,2,1,88,0,84,44,0,no
3,88,1,16,7,0,20,2,1,88,0,84,44,0,yes
3,15,1,2,1,0,5,3,3,15,0,14,5,0,yes
2,15,1,2,1,0,5,3,3,15,0,14,5,0,no
1,14,1,2,1,0,5,2,2,14,0,14,7,0,no
5,16,1,2,1,0,6,4,4,16,0,14,4,1,no
4,16,1,2,1,0,6,4,4,16,0,14,4,0,no
5,4,1,0,0,0,2,1,1,4,0,4,4,0,no
4,4,1,0,0,0,2,1,1,4,0,4,4,0,no
3,4,1,0,0,0,2,1,1,4,0,4,4,0,no
4,14,0,6,4,0,0,1,1,14,0,14,14,0,no
5,14,0,6,4,0,0,1,1,14,0,14,14,0,no
2,2,6,0,0,0,1,1,1,2,0,2,2,0,no
1,2,6,0,0,0,1,1,1,2,0,2,2,0,no
5,52,0,15,6,0,6,1,1,52,0,52,52,0,no
4,52,0,15,6,0,6,1,1,52,0,52,52,0,no
3,14,0,6,4,0,0,1,1,14,0,14,14,0,no
5,39,1,6,4,0,10,2,2,39,0,39,19.5,0,no
3,39,1,6,4,0,10,2,2,39,0,39,19.5,0,no
4,39,1,6,4,0,10,2,2,39,0,39,19.5,0,no
2,45,2,13,6,0,8,1,1,45,0,45,45,0,no
1,39,1,6,4,0,10,1,1,39,0,39,39,0,no
2,39,1,6,4,0,10,1,1,39,0,39,39,0,no
5,27,2,7,2,0,1,3,2,27,0,22,9,1,no
4,27,2,7,2,0,1,3,2,27,0,22,9,0,no
3,25,2,6,2,0,1,2,1,25,0,22,12.5,0,yes
5,23,6,3,1,0,5,1,1,23,0,23,23,0,no
4,23,6,3,1,0,5,1,1,23,0,23,23,0,no
3,10,1,2,2,0,0,2,1,10,0,6,5,0,no
5,10,1,2,2,0,0,2,1,10,0,6,5,1,no
4,10,1,2,2,0,0,2,1,10,0,6,5,1,no
3,23,6,3,1,0,5,1,1,23,0,23,23,0,no
1,1,0,0,0,0,0,1,1,1,0,1,1,0,no
4,1,0,0,0,0,0,1,1,1,0,1,1,0,no
5,1,0,0,0,0,0,1,1,1,0,1,1,0,no
2,1,0,0,0,0,0,1,1,1,0,1,1,0,no
3,1,0,0,0,0,0,1,1,1,0,1,1,0,no
1,67,1,20,5,0,18,2,2,67,0,67,33.5,0,yes
1,38,1,5,2,0,3,1,1,38,0,38,38,0,no
5,22,2,7,1,0,2,1,1,22,0,22,22,0,no
4,22,2,7,1,0,2,1,1,22,0,22,22,0,no
2,50,0,10,3,0,10,2,1,6,4,6,5,0,no
3,50,0,10,3,0,10,2,1,6,4,6,5,0,no
4,50,0,10,3,0,10,2,1,6,4,6,5,0,no
5,50,0,10,3,0,10,2,1,6,4,6,5,0,no
3,19,1,6,3,0,1,2,2,19,0,16,9.5,0,no
2,16,1,5,3,0,1,1,1,16,0,16,16,0,yes
5,19,1,6,3,0,1,2,2,19,0,16,9.5,1,no
4,19,1,6,3,0,1,2,2,19,0,16,9.5,1,no
5,22,1,9,4,0,3,1,1,22,0,22,22,0,no
4,27,5,7,4,0,2,2,2,27,0,27,13.5,0,no
3,27,5,7,4,0,2,1,1,27,0,27,27,0,yes
3,22,1,9,4,0,3,1,1,22,0,22,22,0,no
4,22,1,9,4,0,3,1,1,22,0,22,22,0,no
5,27,5,7,4,0,2,2,2,27,0,27,13.5,1,no
3,31,1,4,2,0,6,4,2,31,0,18,7.75,1,no
4,31,1,4,2,0,6,4,2,31,0,18,7.75,1,no
2,31,1,4,2,0,6,4,2,31,0,18,7.75,0,no
5,31,1,4,2,0,6,4,2,31,0,18,7.75,1,no
5,28,1,7,3,0,8,3,3,28,0,17,9.3333,0,no
3,19,1,7,3,0,5,7,2,19,0,16,2.7143,0,no
4,19,1,7,3,0,5,7,2,19,0,16,2.7143,1,no
4,11,6,4,2,0,3,4,2,15,4,11,4.75,1,no
5,11,6,4,2,0,3,4,2,15,4,11,4.75,1,no
2,14,6,4,2,0,3,2,1,14,0,11,7,0,yes
3,11,6,4,2,0,3,4,2,15,4,11,4.75,0,no
3,18,3,9,1,0,0,1,1,18,0,18,18,0,no
3,28,1,7,3,0,8,3,3,28,0,17,9.3333,0,no
4,28,1,7,3,0,8,3,3,28,0,17,9.3333,0,no
4,18,3,9,1,0,0,1,1,18,0,18,18,0,no
5,18,3,9,1,0,0,1,1,18,0,18,18,0,no
5,9,1,4,1,0,0,1,1,9,0,9,9,0,no
4,9,1,4,1,0,0,1,1,9,0,9,9,0,no
4,37,1,13,5,0,7,4,2,37,0,29,9.25,1,no
3,37,1,13,5,0,7,4,2,37,0,29,9.25,0,no
5,37,1,13,5,0,7,4,2,37,0,29,9.25,1,no
4,9,2,3,1,0,0,1,1,9,0,9,9,0,no
5,9,2,3,1,0,0,1,1,9,0,9,9,0,no
3,32,3,7,3,0,9,2,2,33,1,33,17,0,yes
4,32,3,7,3,0,9,3,3,33,1,33,11.3333,0,no
5,32,3,7,3,0,9,3,3,33,1,33,11.3333,1,no
3,36,4,4,2,0,4,3,1,6,0,4,2,1,no
4,36,4,4,2,0,4,3,1,6,0,4,2,1,no
1,34,4,5,2,0,3,1,1,4,0,4,4,0,yes
2,35,4,5,2,0,3,2,1,5,0,4,2.5,0,no
5,1,7,0,0,0,0,1,1,1,0,1,1,0,no
4,1,7,0,0,0,0,1,1,1,0,1,1,0,no
3,1,7,0,0,0,0,1,1,1,0,1,1,0,no
5,36,4,4,2,0,4,4,1,6,0,4,1.5,1,no
4,24,0,8,3,0,4,2,1,24,0,24,12,1,no
3,24,0,8,3,0,4,2,1,24,0,24,12,0,no
5,24,0,8,3,0,4,2,1,24,0,24,12,1,no
2,24,0,8,3,0,4,1,1,24,0,24,24,0,yes
3,33,3,4,2,0,3,1,1,33,0,33,33,0,yes
4,33,3,4,2,0,3,2,2,33,0,33,16.5,0,no
5,33,3,4,2,0,3,2,2,33,0,33,16.5,1,no
3,23,1,7,4,0,0,2,1,23,0,15,11.5,0,no
4,23,1,7,4,0,0,2,1,23,0,15,11.5,1,no
5,23,1,7,4,0,0,2,1,23,0,15,11.5,1,no
3,32,3,8,5,0,8,2,2,32,0,23,16,0,no
4,32,3,8,5,0,8,2,2,32,0,23,16,1,no
5,32,3,8,5,0,8,2,2,32,0,23,16,1,no
1,30,1,8,3,0,7,1,1,30,0,30,30,0,no
2,30,1,8,3,0,7,1,1,30,0,30,30,0,no
1,1,2,0,0,0,0,1,1,1,0,1,1,0,no
3,1,2,0,0,0,0,1,1,1,0,1,1,0,no
2,1,2,0,0,0,0,1,1,1,0,1,1,0,no
5,1,2,0,0,0,0,1,1,1,0,1,1,0,no
4,1,2,0,0,0,0,1,1,1,0,1,1,0,no
2,25,0,7,3,0,0,1,1,25,0,25,25,0,no
3,25,0,7,3,0,0,2,2,25,0,25,12.5,0,no
1,25,0,7,3,0,0,1,1,25,0,25,25,0,no
5,12,2,4,3,0,3,1,1,12,0,12,12,0,no
4,26,6,3,2,0,7,3,3,26,0,25,8.6667,0,no
5,26,6,3,2,0,7,3,3,26,0,25,8.6667,0,no
2,26,6,3,2,0,7,2,2,26,0,25,13,0,no
3,26,6,3,2,0,7,3,3,26,0,25,8.6667,0,no
4,33,3,13,2,0,1,1,1,33,0,33,33,0,no
5,33,3,13,2,0,1,1,1,33,0,33,33,0,no
5,42,2,8,2,0,11,7,3,43,1,33,6.2857,1,no
4,42,2,8,2,0,11,7,3,43,1,33,6.2857,1,no
3,42,2,8,2,0,11,6,2,43,1,33,7.3333,0,yes
3,25,1,8,4,0,0,2,1,25,0,15,12.5,0,no
4,25,1,8,4,0,0,2,1,25,0,15,12.5,1,no
5,25,1,8,4,0,0,2,1,25,0,15,12.5,1,no
5,15,1,7,1,0,0,1,1,15,0,15,15,0,no
4,15,1,7,1,0,0,1,1,15,0,15,15,0,no
5,64,7,13,5,0,11,2,2,64,0,58,32,0,no
3,35,1,6,4,0,7,1,1,35,0,35,35,0,no
2,35,1,6,4,0,7,1,1,35,0,35,35,0,no
5,35,1,6,4,0,7,1,1,35,0,35,35,0,no
4,35,1,6,4,0,7,1,1,35,0,35,35,0,no
5,29,1,10,2,0,3,3,2,29,0,29,9.6667,0,no
4,29,1,9,1,0,3,1,1,29,0,29,29,0,yes
4,64,7,13,5,0,11,2,2,64,0,58,32,0,no
3,64,7,13,5,0,11,2,2,64,0,58,32,0,no
2,64,7,13,5,0,11,2,2,64,0,58,32,0,no
1,58,7,11,5,0,11,1,1,58,0,58,58,0,no
4,10,1,2,2,0,0,2,1,10,0,6,5,1,no
5,10,1,2,2,0,0,2,1,10,0,6,5,1,no
3,10,1,2,2,0,0,2,1,10,0,6,5,0,no
1,37,3,5,2,0,7,1,1,37,0,37,37,0,no
2,37,3,5,2,0,7,1,1,37,0,37,37,0,no
5,11,1,5,1,0,0,1,1,11,0,11,11,0,no
4,11,1,5,1,0,0,1,1,11,0,11,11,0,no
4,23,1,7,3,0,6,1,1,23,0,23,23,0,no
5,23,1,7,3,0,6,1,1,23,0,23,23,0,no
5,32,1,15,2,0,1,1,1,32,0,32,32,0,no
4,32,1,15,2,0,1,1,1,32,0,32,32,0,no
1,20,0,7,2,0,0,2,2,20,0,18,10,0,no
3,24,1,3,1,0,10,3,2,24,0,24,8,0,yes
4,24,1,3,1,0,10,4,3,24,0,24,6,0,no
1,24,1,3,1,0,10,3,2,24,0,24,8,0,no
2,24,1,3,1,0,10,3,2,24,0,24,8,0,no
5,25,1,3,1,0,11,5,4,25,0,24,5,1,no
5,10,1,2,2,0,0,2,1,10,0,6,5,1,no
4,10,1,2,2,0,0,2,1,10,0,6,5,1,no
3,10,1,2,2,0,0,2,1,10,0,6,5,0,no
5,28,6,10,3,0,3,1,1,28,0,28,28,0,no
4,28,6,10,3,0,3,1,1,28,0,28,28,0,no
3,28,6,10,3,0,3,1,1,28,0,28,28,0,no
3,5,6,0,0,0,0,1,1,5,0,5,5,0,no
5,5,6,0,0,0,0,1,1,5,0,5,5,0,no
4,5,6,0,0,0,0,1,1,5,0,5,5,0,no
4,29,4,10,5,0,3,1,1,29,0,29,29,0,no
5,29,4,10,5,0,3,1,1,29,0,29,29,0,no
3,6,1,2,1,0,0,4,1,6,2,4,2,0,no
2,8,1,3,1,0,0,1,1,4,0,4,4,0,yes
5,6,1,2,1,0,0,4,1,6,2,4,2,1,no
4,6,1,2,1,0,0,4,1,6,2,4,2,1,no
1,8,1,3,1,0,0,1,1,4,0,4,4,0,no
1,17,6,6,2,0,7,2,2,17,0,17,8.5,0,no
2,20,6,7,2,0,7,3,3,20,0,17,6.6667,0,no
4,23,0,7,4,0,6,8,3,32,9,14,5.125,1,yes
3,24,0,7,4,0,6,7,3,32,8,14,5.7143,0,no
5,23,0,7,4,0,6,9,3,32,9,14,4.5556,1,yes
2,33,2,8,3,0,8,2,2,33,0,24,16.5,0,no
1,33,2,8,3,0,8,2,2,33,0,24,16.5,0,no
5,10,1,2,2,0,0,1,1,10,0,10,10,0,no
4,10,1,2,2,0,0,1,1,10,0,10,10,0,no
3,10,1,2,2,0,0,1,1,10,0,10,10,0,no
5,31,0,11,4,0,4,2,1,31,0,31,15.5,0,no
3,31,0,11,4,0,4,2,1,31,0,31,15.5,0,no
4,31,0,11,4,0,4,2,1,31,0,31,15.5,0,no
